"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","0","0","237.758","2.744","0","0","40.047"
"SD_Ann","0","0","398.527","16.486","0","0","185.054"
"CV_Ann","NaN","NaN","1.676","6.008","NaN","NaN","4.621"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","0","0","0","0","0"
"Q75_Mag","0","0","419","0","0","0","0"
"Q90_Mag","0","0","1000.88","0","0","0","0"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","1","1","1","1","1","1","1"
"Q90_Tim","1","1","1","1","1","1","1"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","1","1","1","1","1","1","1"
"Q90_Fre","1","1","1","1","1","1","1"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","365","366","365","365","365","366","365"
"Q90_Dur","365","366","365","365","365","366","365"
"Q10_Mag_Lng_Evt","0","0","1098.7","126.5","0","0","204"
"Q25_Mag_Lng_Evt","0","0","1098.7","126.5","0","0","204"
"Q50_Mag_Lng_Evt","0","0","1098.7","126.5","0","0","204"
"Q75_Mag_Lng_Evt","0","0","1098.7","126.5","0","0","204"
"Q90_Mag_Lng_Evt","0","0","1098.7","126.5","0","0","204"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q90_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q90_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Init_Mag",NA,NA,"0","118.334",NA,NA,"59.167"
"Init_Tim",NA,NA,"242","3",NA,NA,"122.5"
"Init_Dur",NA,NA,"34","2",NA,NA,"18"
"Wet_BFL_Mag_10",NA,NA,"265.48","111.9",NA,NA,"188.69"
"Wet_BFL_Mag_50",NA,NA,"993.3","119.15",NA,NA,"556.225"
"Wet_Tim",NA,NA,"242","1",NA,NA,"121.5"
"Wet_BFL_Dur",NA,NA,"63","4",NA,NA,"33.5"
"Peak_Mag_Ann","0","0","1098.7","126.5","0","0","204.2"
"Peak_Mag_Tim","1","1","304","4","1","1","52"
"Peak_Mag_95",NA,NA,"1098.7","126.5",NA,NA,"612.6"
"Peak_Mag_90",NA,NA,"1098.7","126.5",NA,NA,"612.6"
"Peak_Mag_80",NA,NA,"1098.7","126.5",NA,NA,"612.6"
"Peak_Dur_95",NA,NA,"107","5",NA,NA,"56"
"Peak_Dur_90",NA,NA,"119","16",NA,NA,"67.5"
"Peak_Dur_80",NA,NA,"119","16",NA,NA,"67.5"
"Peak_Fre_95",NA,NA,"1","1",NA,NA,"1"
"Peak_Fre_90",NA,NA,"1","1",NA,NA,"1"
"Peak_Fre_80",NA,NA,"1","1",NA,NA,"1"
"Peak_Tim_95",NA,NA,"248","1",NA,NA,"124.5"
"Peak_Tim_90",NA,NA,"247","1",NA,NA,"124"
"Peak_Tim_80",NA,NA,"247","1",NA,NA,"124"
"Rec_Mag",NA,NA,"1098.7","126.5",NA,NA,"612.6"
"Rec_Tim",NA,NA,"304","4",NA,NA,"154"
"Rec_Dur",NA,NA,"81","21",NA,NA,"51"
"Rec_ROC",NA,NA,"0.043","0.363",NA,NA,"0.203"
"Dry_Mag_90",NA,NA,"122.9",NA,NA,NA,"122.9"
"Dry_Mag_50",NA,NA,"21.4",NA,NA,NA,"21.4"
"Dry_Mag_10",NA,NA,"0",NA,NA,NA,"0"
"Dry_Tim",NA,NA,"385","25",NA,NA,"205"
"Dry_Dur",NA,NA,"21",NA,NA,NA,"21"
"Dry_NoFL_Days",NA,NA,"5",NA,NA,NA,"5"
"No_Peaks_Avg",NA,NA,"5","1",NA,NA,"3"
"No_Peaks_Max",NA,NA,"5","1",NA,NA,"3"
"Frac_V_Cent_Avg",NA,NA,"0.43","0.667",NA,NA,"0.548"
"Frac_V_Cent_Max",NA,NA,"0.43","0.667",NA,NA,"0.548"
