"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","11.368","1.308","14.943","45.806","0","0","12.227"
"SD_Ann","0.273","3.51","30.619","124.405","0","0","54.663"
"CV_Ann","0.024","2.684","2.049","2.716","NaN","NaN","4.471"
"Q10_Mag","11.1","0","0","0","0","0","0"
"Q25_Mag","11.3","0","0","0","0","0","0"
"Q50_Mag","11.4","0","0","0","0","0","0"
"Q75_Mag","11.4","0","0","6.6","0","0","10.6"
"Q90_Mag","11.5","10.6","84.62","120.02","0","0","11.5"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","1","1","289","16",NA,NA,"76"
"Q90_Tim","187","1","289","16",NA,NA,"123"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","1","1","1","2",NA,NA,"1"
"Q90_Fre","21","1","1","2",NA,NA,"6"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","365","44","77","87",NA,NA,"143"
"Q90_Dur","82","2","77","86",NA,NA,"61"
"Q10_Mag_Lng_Evt","12.6","11.6","95","673.4","0","0","132"
"Q25_Mag_Lng_Evt","12.6","11.6","95","673.4","0","0","132"
"Q50_Mag_Lng_Evt","12.6","11.6","95","673.4","0","0","132"
"Q75_Mag_Lng_Evt","12.6","11.6","95","673.4",NA,NA,"198"
"Q90_Mag_Lng_Evt","11.6","11.6","95","673.4",NA,NA,"197"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","1","1","289","1",NA,NA,"73"
"Q90_Strt_Tim_Lng_Evt","203","1","289","1",NA,NA,"123"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","aut","win",NA,NA,"win"
"Q90_Strt_Sea_Lng_Evt","sum","win","aut","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","365","44","77","80",NA,NA,"141"
"Q90_Dur_Lng_Evt","18","2","77","79",NA,NA,"44"
"Init_Mag","11.4","10.67","0","559.269",NA,NA,"145.335"
"Init_Tim","11","38","279","4",NA,NA,"83"
"Init_Dur","9","5","55","9",NA,NA,"19.5"
"Wet_BFL_Mag_10","11.4","10.6","0","0",NA,NA,"5.5"
"Wet_BFL_Mag_50","11.4","10.9","87.6","1.4",NA,NA,"27.825"
"Wet_Tim","11","-47","279","-5",NA,NA,"59.5"
"Wet_BFL_Dur","247","50","47","195",NA,NA,"134.75"
"Peak_Mag_Ann","12.6","11.6","95","673.4","0","0","132.1"
"Peak_Mag_Tim","257","2","297","1","1","1","93.167"
"Peak_Mag_95",NA,NA,"95","384.95",NA,NA,"239.975"
"Peak_Mag_90","11.6","11.6","95","384.95",NA,NA,"125.787"
"Peak_Mag_80","11.6","11.6","95","384.95",NA,NA,"125.787"
"Peak_Dur_95",NA,NA,"52","58",NA,NA,"55"
"Peak_Dur_90","82","2","77","86",NA,NA,"61.75"
"Peak_Dur_80","316","6","77","86",NA,NA,"121.25"
"Peak_Fre_95",NA,NA,"1","2",NA,NA,"1.5"
"Peak_Fre_90","21","1","1","2",NA,NA,"6.25"
"Peak_Fre_80","3","1","1","2",NA,NA,"1.75"
"Peak_Tim_95",NA,NA,"290","95",NA,NA,"192.5"
"Peak_Tim_90","190","1","289","94.5",NA,NA,"143.625"
"Peak_Tim_80","331","1","289","94.5",NA,NA,"178.875"
"Rec_Mag","12.6","11.6","89.5","96.5",NA,NA,"52.55"
"Rec_Tim","257","2","325","189",NA,NA,"193.25"
"Rec_Dur","61","57","28","13",NA,NA,"39.75"
"Rec_ROC","0.019","0.018","0.022","0.354",NA,NA,"0.103"
"Dry_Mag_90","10.8","0","47.4",NA,NA,NA,"19.4"
"Dry_Mag_50","10.8","0","42.1",NA,NA,NA,"17.633"
"Dry_Mag_10","10.8","0","35.28",NA,NA,NA,"15.36"
"Dry_Tim","318","59","353","202",NA,NA,"233"
"Dry_Dur","1","587","8",NA,NA,NA,"198.667"
"Dry_NoFL_Days","0","587","0",NA,NA,NA,"195.667"
"No_Peaks_Avg",NA,NA,"5","1.5",NA,NA,"3.25"
"No_Peaks_Max",NA,NA,"5","2",NA,NA,"3.5"
"Frac_V_Cent_Avg",NA,NA,"0.5","0.393",NA,NA,"0.446"
"Frac_V_Cent_Max",NA,NA,"0.5","0.286",NA,NA,"0.393"
